Participant,Set,X116001,X116002,X116003,X116004,X116005,X116006,X116007,X116008,X116009,X116010,X116011,X116012,X116013,X116014,X116015,X116016,X116017,X116018,X116019,X116020,Set_size,Group
8006,91,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,1,1,1,8,P6
8006,92,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,3,P6
8006,93,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,5,P6
8006,94,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,4,P6
8007,95,1,0,0,0,1,0,0,1,0,1,1,1,0,1,1,0,1,0,0,0,9,P6
8007,96,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,5,P6
8007,97,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2,P6
8007,98,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,4,P6
8008,99,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4,P6
8008,100,0,1,0,0,0,1,1,1,1,0,1,0,0,1,0,0,0,1,0,0,8,P6
8008,101,1,1,0,0,1,0,1,0,1,1,1,1,0,0,0,0,0,1,0,0,9,P6
8009,102,0,0,0,1,0,0,1,0,0,0,0,0,1,1,1,1,0,0,0,0,6,P6
8009,103,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,1,1,8,P6
8009,104,0,1,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,6,P6
8010,105,0,0,0,0,0,1,0,0,1,0,0,1,0,1,1,0,0,0,0,0,5,P6
8010,106,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,1,0,0,0,5,P6
8010,107,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,3,P6
8010,108,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,P6
8010,109,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,P6
8010,110,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,P6
8011,111,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,6,P6
8011,112,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,5,P6
8011,113,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,5,P6
8011,114,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,4,P6
8012,115,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,4,P6
8012,116,0,0,1,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,5,P6
8012,117,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,P6
8012,118,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,P6
8012,119,0,0,0,0,0,0,0,1,1,1,0,0,1,1,1,0,0,0,0,0,6,P6
8013,120,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,4,P6
8013,121,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2,P6
8013,122,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,P6
8013,123,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,P6
8013,124,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,3,P6
8013,125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,P6
8013,126,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,3,P6
8013,127,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,P6
8013,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,P6
8014,129,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,5,P6
8014,130,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,5,P6
8014,131,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,4,P6
8014,132,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,3,P6
8014,132,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,3,P6
8015,133,1,1,0,0,0,1,1,0,0,0,1,0,1,0,1,0,1,0,0,0,8,P6
8015,134,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,1,0,6,P6
8015,135,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,6,P6
8016,136,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,P6
8016,137,0,1,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,1,1,7,P6
8016,138,0,1,1,1,0,0,1,0,0,1,1,0,1,1,1,0,0,1,1,1,12,P6
8017,139,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,P6
8017,140,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1,0,5,P6
8017,141,1,1,0,0,0,1,1,1,0,1,0,0,0,0,0,1,0,0,1,0,8,P6
8017,142,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,5,P6
8018,143,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,P6
8018,144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2,P6
8018,145,0,0,1,0,0,0,0,1,0,1,0,0,0,1,1,0,0,1,0,0,6,P6
8018,146,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,3,P6
8018,147,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,5,P6
8018,148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,P6
8019,149,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2,P6
8019,150,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,4,P6
8019,151,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,5,P6
8019,152,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,4,P6
8019,153,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,1,5,P6
8020,154,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,P6
8020,155,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2,P6
8020,156,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,5,P6
8020,157,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,P6
8020,158,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,P6
8020,159,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,P6
8020,160,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,P6
8020,161,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,P6
8021,162,0,0,0,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,0,1,9,P6
8021,163,0,0,0,0,0,1,1,1,0,1,0,1,1,1,1,0,1,1,0,1,11,P6
