Participant,Set,X115001,X115002,X115003,X115004,X115005,X115006,X115007,X115008,X115009,X115010,X115011,X115012,X115013,X115014,X115015,X115016,X115017,X115018,X115019,X115020,Set_size,Group
8012,100,0,0,0,0,1,1,0,0,0,1,1,0,0,0,1,0,1,0,1,1,8,P31M
8012,101,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,1,0,1,0,6,P31M
8012,102,1,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,1,0,0,6,P31M
8013,103,0,1,1,1,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,1,8,P31M
8013,104,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,P31M
8013,105,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,P31M
8013,106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,P31M
8013,107,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,4,P31M
8013,108,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,P31M
8013,109,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,P31M
8014,110,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,4,P31M
8014,111,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,1,5,P31M
8014,112,0,1,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,5,P31M
8014,113,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,4,P31M
8014,114,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2,P31M
8015,118,1,1,0,0,0,0,1,0,0,1,0,0,1,1,0,1,1,1,0,0,9,P31M
8015,119,1,1,1,0,0,0,1,1,1,1,1,0,1,0,1,1,0,0,0,0,11,P31M
8016,115,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,1,7,P31M
8016,116,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,3,P31M
8016,117,1,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1,0,1,1,0,10,P31M
8017,120,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,P31M
8017,121,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,1,6,P31M
8017,122,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,4,P31M
8017,123,1,0,1,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,8,P31M
8018,124,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,4,P31M
8018,125,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,4,P31M
8018,126,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,4,P31M
8018,127,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,P31M
8018,128,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,4,P31M
8018,129,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,P31M
8019,130,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,4,P31M
8019,131,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,4,P31M
8019,132,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,P31M
8019,133,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,P31M
8019,134,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,P31M
8019,135,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,4,P31M
8019,136,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,P31M
8020,137,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,P31M
8020,138,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,P31M
8020,139,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,3,P31M
8020,140,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2,P31M
8020,141,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,4,P31M
8020,142,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,P31M
8020,143,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,4,P31M
8020,144,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,P31M
8021,145,0,0,1,0,0,1,1,1,0,0,0,0,0,0,1,1,1,1,0,0,8,P31M
8021,146,1,0,0,1,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,7,P31M
8021,147,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,1,5,P31M
